id,address,categories,city,country,keys,latitude,longitude,name,postalCode,province,twitter,websites
AVwc0jAKkufWRAb5zYFC,700 NE Dekum St,"Brewery,Gastropub,Non-Profit,Restaurant,Bars Pubs,Brewery, Gastropub, and Non-Profit,Brewery, Gastropub, and Non-Profit Woodlawn",Portland,US,us/or/portland/700nedekumst/967453043,45.57153,-122.65816,The Oregon Public House,97211,OR,oregonpubhouse,http://oregonpublichouse.com
AVwc0JM7ByjofQCxie8_,1801 S Voss Rd,"Supermarket,Cheese Shops,Grocery Stores & Supermarkets,Supermarket Great Uptown,Breweries,Beer & Ale Distributors,Beer & Ale Retail",Houston,US,us/tx/houston/1801svossrd/-1122957716,29.748711,-95.500832,Kroger,77057,TX,kroger,http://kroger.com
AVwc0KA9ByjofQCxifHm,509 1/2 Puyallup Ave.,"Brewery,Beverages Retail,Breweries,Brewery Downtown Tacoma,Wineries",Tacoma,US,us/wa/tacoma/50912puyallupave/-459936555,47.240946,-122.427718,Wingman Brewers,98421,WA,wingman,http://wingmanbrewers.com
AVwc0kqwByjofQCxij4n,2006 N 9th St,"Brewery,Bar,Brewery and Bar",Lafayette,US,us/in/lafayette/2006n9thst/1319896481,40.43762132,-86.88658209,People's Brewing Company,47904,IN,peoplesbrew,http://peoplesbrew.com
AVwc0KVJ_7pvs4fzzQTB,619 Monroe St,"Brewery,Brewers",Toledo,US,us/oh/toledo/619monroest/467047213,41.6499,-83.5401,Black Cloister Brewing Company,43604,OH,blackcloisterbc,http://blackcloister.com/index.html
AVwc0lbIIN2L1WUfpRQL,1333 N Mcdowell Blvd,Brewery,Petaluma,US,us/ca/petaluma/1333nmcdowellblvd/-1368712624,38.27209893,-122.663877,Petaluma Hills Brewing Company,94954,CA,petalumahills,http://www.petalumahills.com
AVwc0P8FIN2L1WUfpNmh,225 W Vine St,"Office,Office Brewer's Hill",Milwaukee,US,us/wi/milwaukee/225wvinest/-1898145063,43.05308479,-87.91315556,United Way of Greater Milwaukee,53212,WI,unitedwaymke,http://unitedwaymilwaukee.org
AVwc0pObByjofQCxikyg,2917 E Eastland Center Dr,"Restaurant,Chain Restaurant,Breweries and brew pubs,Carry-out food,Pizza,Restaurants,Bar and grill restaurants,Pub restaurants,Brew Pubs,Pubs,Taverns,Bars Clubs,Bars Pubs,American Restaurants,Take Out Restaurants,Beer and Ale,Caterers,American Restaurant,Pizza Place,Brewery,American Restaurant, Pizza Place, and Brewery",West Covina,US,us/ca/westcovina/2917eeastlandcenterdr/554746294,34.07299,-117.88683,BJ's Restaurant & Brewhouse,91791,CA,bjsrestaurants,"http://www.bjsrestaurants.com/locations/ca/west-covina,http://t.co/bl46gcjDLN"
AVwc0U9jkufWRAb5zVyE,9524 W Linebaugh Ave,"Bar,Music Venue,Beer and beverages,Beer and beverages-wholesale and distributors,Breweries and brew pubs,Cocktail lounges,Karaoke,Liquor stores,Restaurants,American restaurants,Bar and grill restaurants,Dinner theatre restaurants,Bar and Music Venue",Tampa,US,us/fl/tampa/9524wlinebaughave/1757676697,28.0433,-82.5922,World of Beer,33626,FL,wob_westchase,http://worldofbeer.com/Locations/Westchase
AVwc0wh9kufWRAb5zamy,7919 E Thomas Rd,"American Restaurant,Dive Bar,Dive Bar, American Restaurant, and Brewery,Brewery,Dive Bar and American Restaurant",Scottsdale,US,us/az/scottsdale/7919ethomasrd/1989095531,33.47895458,-111.9110298,Pranksters Too,85251,AZ,prankstersaz,http://prankstersgarandbrill.com
AVwc12Mx_7pvs4fzzhjy,328 N Main Ave,"Bar,Wine Bar,Beer Garden,Brew Pubs,Beer and Ale,Bars,Night Clubs,Restaurants,Brewers,Restaurant,Bar, Wine Bar, and Beer Garden Downtown Gresham,Banquet Halls & Reception Facilities,Beer & Ale,Bar, Wine Bar, and Beer Garden",Gresham,US,us/or/gresham/328nmainave/1740109761,45.49994,-122.43068,The Hoppy Brewer,97030,OR,thehoppybrewer,"http://www.oregonshoppyplace.com,http://oregonshoppyplace.com"
AVwc138-ByjofQCxixwj,4112 Medical Pkwy,"Restaurant,Pubs,Brewery,Pub,Bars Pubs,Bars Clubs,Nightclubs,Neighborhood Bars,Restaurants,Brew Pubs,Bars & Clubs,Brewery and Pub Rosedale,Bars & Pubs,Food & Drink,Breweries,Nightlife,Brewery and Pub",Austin,US,us/tx/austin/4112medicalpkwy/312256348,30.310074,-97.742758,Draught House Pub & Brewery,78756,TX,draughthouse,"http://drunkenhorsenyc.com/,http://draughthouse.com"
AVwc13yuByjofQCxixu7,2312 Elliston Pl,"American Restaurant,Pub,Brewery,American Restaurant, Pub, and Brewery,condominiums",Nashville,US,us/tn/nashville/2312ellistonpl/228365555,36.15117618,-86.80452485,Hurry Back,37203,TN,hurrybacknash,"http://hurry-back.com,http://www.hurry-back.com"
AVwc169mIN2L1WUfpfbn,12 Liberty Dr,"Brewers,Restaurant",Londonderry,US,us/nh/londonderry/12libertydr/245410385,42.9164,-71.3629,603 Brewery,3053,NH,603brewery,http://603brewery.com
AVwc1aw3ByjofQCxitRx,227 Broadway,Brewery,Denver,US,us/co/denver/227broadway/-1675011757,39.71993776,-104.9876958,Trve Brewing Co.,80203,CO,trvebrewing,http://trvebrewing.com
AVwc1ge_ByjofQCxiuQW,4495 SW Scholls Ferry Rd,"Brewery,Pub,Restaurant,Bars,American Restaurants,Restaurants,Movie Theaters,Bar & Grills,Brewery, Movie Theater, and Winery,Taverns",Portland,US,us/or/portland/4495swschollsferryrd/1083932555,45.4874,-122.74751,McMenamins Raleigh Hills Pub,97225,OR,captainneon,http://mcmenamins.com/355-raleigh-hills-pub-home
AVwc1iwV_7pvs4fzze4Y,5400 N Clark St,"Restaurant,Fast Food,Burgers,Breweries and brew pubs,Pizza,Restaurants,American restaurants,Hamburger restaurants,Hot dog restaurants,Burger Joint,American Restaurant,Certified Green Restaurant(r),Pubs,Burger Joint and American Restaurant Andersonville",Chicago,US,us/il/chicago/5400nclarkst/-2028072305,41.97997,-87.66856,Hamburger Mary's,60640,IL,maryschicago,"http://www.hamburgermarys.com/chicago,http://hamburgermarys.com/chicago"
AVwc1LS2_7pvs4fzzbOF,345 S Elm St,"Brewery,American Restaurant,Beer Garden,Bars,American Restaurants,Brew Pubs,Restaurants,Beer & Ale,Bar & Grills,Taverns,Pub Food",Greensboro,US,us/nc/greensboro/345selmst/-227281650,36.06943,-79.7905,Natty Greene's Pub & Brewing Co.,27401,NC,natty_greenes,http://www.nattygreenes.com
AVwc1MXGIN2L1WUfpX-S,2855 Marconi Dr,"Brew Pubs,Beer and Ale,Restaurants,Brewery",Alpharetta,US,us/ga/alpharetta/2855marconidr/-436994985,34.08836,-84.24685,Jekyll Brewing,30005,GA,jekyllbrewing,"http://www.jekyllbrewing.com,http://jekyllbrewing.com"
AVwc1Nd0ByjofQCxirBp,308 E Superior St,"Irish Pub,Bar,Brewery,Irish Pub, Bar, and Brewery",Duluth,US,us/mn/duluth/308esuperiorst/-2078647411,46.78997367,-92.09406017,Carmody Irish Pub and Brewing,55802,MN,carmodyirishpub,http://carmodyirishpub.com
AVwc1oczIN2L1WUfpcgq,500 S Telshor Blvd,"Brewery,American Restaurant,Lounge,Take Out Restaurants,American Restaurants,Brew Pubs,Caterers,Restaurants,Beer & Ale,Breakfast Brunch & Lunch Restaurants,,Bar & Grills,Brewery, American Restaurant, and Lounge",Las Cruces,US,us/nm/lascruces/500stelshorblvd/-815383949,32.31473412,-106.744547,De La Vega's Pecan Grill and Brewery,88011,NM,dlvspecangrill,http://www.pecangrill.com
AVwc1P-EkufWRAb5zfge,1212 S E Powell Blvd,Brewery,Portland,US,us/or/portland/1212sepowellblvd/804508820,45.500323,-122.652954,Bushwhacker Cider - Brooklyn,97202,OR,bushwhckr,http://www.bushwhackercider.com
AVwc1T0rkufWRAb5zgFA,231 Collins Industrial Blvd,Brewery,Athens,US,us/ga/athens/231collinsindustrialblvd/-2004729263,33.98343851,-83.34810019,Southern Brewing Company,30601,GA,southernbrewco,http://www.sobrewco.com/home/
AVwc1T2AkufWRAb5zgFS,1207 E Pickard St,"Diner,Brewery,Diner and Brewery",Mount Pleasant,US,us/mi/mountpleasant/1207epickardst/835801807,43.61218873,-84.76272556,Cranker's Restaurant & Brewery - Mount Pleasant,48858,MI,crankersbrewmtp,http://crankersbrewery.com
AVwc1TG_IN2L1WUfpZFU,201 I 20 E,"American Restaurant,Brewery,Food",Arlington,US,us/tx/arlington/201i20e/554746294,32.67922647,-97.11079359,Bj's Restaurant & Brewhouse,76018,TX,bjsrestaurants,http://www.bjsrestaurants.com
AVwc209XByjofQCxi8K1,205 Hirst Rd,Brewery,Purcellville,US,us/va/purcellville/205hirstrd/1054757002,39.14342025,-77.71259305,Corcoran Brewing Company,20132,VA,corcoranbrew,http://corcoranbrewing.com
AVwc21oa_7pvs4fzzr_2,120 W Washington St,"Brew Pubs,Beer and Ale,American Restaurants,Bar and Grills,Restaurants,Brewery,American Restaurant,Brewery, Meeting Room, and American Restaurant Downtown Ann Arbor,Beer & Ale,Bar & Grills",Ann Arbor,US,us/mi/annarbor/120wwashingtonst/1714502230,42.28055,-83.7488,Grizzly Peak Brewing Co,48104,MI,grizzlypeak,"http://www.grizzlypeak.net,http://grizzlypeak.net"
AVwc22oT_7pvs4fzzsKy,70 SW Century Dr,"Brewers,Brewery",Bend,US,us/or/bend/70swcenturydr/-1664192441,44.0506,-121.3305,Goodlife Brewing Co,97702,OR,goodlifebrewing,http://goodlifebrewing.com
AVwc25C6IN2L1WUfpqCr,204 E Via Rancho Pkwy,"Restaurant,American,Chain Restaurant,Brewery,American Restaurant,Pizza Place,Restaurants,Bars Clubs,Bars Pubs,Pubs,Brew Pubs,Breweries and brew pubs,Carry-out food,Pizza,Bar and grill restaurants,Pub restaurants,American Restaurant, Pizza Place, and Brewery,Bars & Clubs,Bars & Pubs",Escondido,US,us/ca/escondido/204eviaranchopkwy/554746294,33.069057,-117.06838,BJ's Restaurant and Brewhouse,92025,CA,bjsrestaurants,http://t.co/bl46gcjDLN
AVwc2-5KkufWRAb5zxB6,1050 N Fairway Doctor F,"Bars,Brewery and Bar,Brewery,Bar,Taverns",Avondale,US,us/az/avondale/1050nfairwaydoctorf/1880612605,33.45448735,-112.3263172,8-bit Aleworks,85323,AZ,8bitaleworks,http://www.8-bitaleworks.com
AVwc2bdEIN2L1WUfplFo,8222 Park Meadows Dr,Brewery,Lone Tree,US,us/co/lonetree/8222parkmeadowsdr/549205266,39.56258375,-104.8928082,Lone Tree Brewery Co.,80124,CO,lonetreebrewing,http://lonetreebrewingco.com
AVwc2cMm_7pvs4fzzn_3,14237 W Colfax Ave,"Restaurant,Breakfast & Brunch,Chain Restaurant,Juice Smoothie Shops,Ice Cream Parlors,Breweries,Restaurants,Fast Food Restaurants,Refreshment Stands,Beverages Wholesale & Manufacturers,Health & Diet Food Products,Ice Cream & Frozen Desserts,Beverages,Juices,Beverages Retail,Ice Cream & Frozen Yogurt Shops,Juice Bars,Health Food Restaurants,Juice Bar",Golden,US,us/co/golden/14237wcolfaxave/2062304683,39.73696,-105.160425,Jamba Juice,80401,CO,jambajuice,"http://www.jambajuice.com/#/home/,http://www.jambajuice.com,http://locations.jambajuice.com/co/golden/14237-west-colfax-ave..html"
AVwc-2CYByjofQCxkRUp,1010 Virginia Dr,"Restaurant,Pubs,Brewery",Orlando,US,us/fl/orlando/1010virginiadr/1178343129,28.563698,-81.36597,Ten 10 Brewing Company,32803,FL,brewingten10,http://www.ten10brewingcompany.com
AVwc2E2VIN2L1WUfphDU,1555 Blake St,"Music Venue,Bar and Music Venue,Bar,Pubs,Bars & Pubs,Sports Bars,Breweries",Denver,US,us/co/denver/1555blakest/1757676697,39.750288,-104.999768,World of Beer,80202,CO,mapquest,"http://worldofbeer.com/Locations/Lodo,http://mapquest.com"
AVwc2GHmIN2L1WUfphU-,2311 Jolly Rd,"Wine,Beer and Ale,Brewers,Bars,Brew Pubs,Wine Shop, Gourmet Shop, and Liquor Store,Beer & Ale,Liquor Stores",Okemos,US,us/mi/okemos/2311jollyrd/1437309868,42.68242,-84.43542,Vine and Brew,48864,MI,vineandbrew,http://www.vineandbrew.com
AVwc2GTw_7pvs4fzzkS2,240 Lancaster Ave,"Brewery,American Restaurant,Restaurants,Bars Clubs,Bars Pubs,Brew Pubs,Restaurant,Brewery and American Restaurant",Malvern,US,us/pa/malvern/240lancasterave/-1929697018,40.0399,-75.543,McKenzie Brew House,19355,PA,mckenziebrew,http://www.mckenziebrewhouse.com
AVwc2LSM_7pvs4fzzlJr,121 W,"Brewery and American Restaurant,Restaurant",Wheaton,US,us/il/wheaton/121w/-1335254704,41.865105,-88.10773,Emmett's Brewing Company,60187,IL,emmettsbeer,http://emmettsbrewingco.com
